run_id,dataset,hop,rep,seed,algorithm,query_count,lambda,gamma,theta_percentile,impact_weight,conflict_threshold,random_seed,max_iterations
Hop10Rep1-0_gamma0,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-0_gamma25,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-0_gamma50,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-0_gamma75,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-0_gamma100,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-1_gamma0,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-1_gamma25,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-1_gamma50,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-1_gamma75,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-1_gamma100,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-2_gamma0,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-2_gamma25,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-2_gamma50,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-2_gamma75,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-2_gamma100,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-3_gamma0,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-3_gamma25,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-3_gamma50,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-3_gamma75,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-3_gamma100,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-4_gamma0,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-4_gamma25,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-4_gamma50,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-4_gamma75,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-4_gamma100,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-5_gamma0,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-5_gamma25,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-5_gamma50,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-5_gamma75,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-5_gamma100,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-6_gamma0,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-6_gamma25,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-6_gamma50,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-6_gamma75,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-6_gamma100,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-7_gamma0,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-7_gamma25,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-7_gamma50,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-7_gamma75,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-7_gamma100,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-8_gamma0,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-8_gamma25,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-8_gamma50,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-8_gamma75,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-8_gamma100,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-9_gamma0,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-9_gamma25,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-9_gamma50,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-9_gamma75,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-9_gamma100,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-10_gamma0,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-10_gamma25,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-10_gamma50,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-10_gamma75,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-10_gamma100,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-11_gamma0,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-11_gamma25,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-11_gamma50,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-11_gamma75,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-11_gamma100,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-12_gamma0,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-12_gamma25,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-12_gamma50,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-12_gamma75,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-12_gamma100,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-13_gamma0,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-13_gamma25,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-13_gamma50,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-13_gamma75,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-13_gamma100,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-14_gamma0,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-14_gamma25,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-14_gamma50,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-14_gamma75,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-14_gamma100,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-15_gamma0,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-15_gamma25,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-15_gamma50,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-15_gamma75,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-15_gamma100,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-16_gamma0,Hop10Rep1-16,10,1,16,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-16_gamma25,Hop10Rep1-16,10,1,16,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-16_gamma50,Hop10Rep1-16,10,1,16,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-16_gamma75,Hop10Rep1-16,10,1,16,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-16_gamma100,Hop10Rep1-16,10,1,16,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-17_gamma0,Hop10Rep1-17,10,1,17,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-17_gamma25,Hop10Rep1-17,10,1,17,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-17_gamma50,Hop10Rep1-17,10,1,17,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-17_gamma75,Hop10Rep1-17,10,1,17,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-17_gamma100,Hop10Rep1-17,10,1,17,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-18_gamma0,Hop10Rep1-18,10,1,18,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-18_gamma25,Hop10Rep1-18,10,1,18,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-18_gamma50,Hop10Rep1-18,10,1,18,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-18_gamma75,Hop10Rep1-18,10,1,18,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-18_gamma100,Hop10Rep1-18,10,1,18,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep1-19_gamma0,Hop10Rep1-19,10,1,19,tdg_selection_no_candidate_vs_random,1024,45,0,90,15,70,0,5
Hop10Rep1-19_gamma25,Hop10Rep1-19,10,1,19,tdg_selection_no_candidate_vs_random,1024,45,25,90,15,70,0,5
Hop10Rep1-19_gamma50,Hop10Rep1-19,10,1,19,tdg_selection_no_candidate_vs_random,1024,45,50,90,15,70,0,5
Hop10Rep1-19_gamma75,Hop10Rep1-19,10,1,19,tdg_selection_no_candidate_vs_random,1024,45,75,90,15,70,0,5
Hop10Rep1-19_gamma100,Hop10Rep1-19,10,1,19,tdg_selection_no_candidate_vs_random,1024,45,100,90,15,70,0,5
Hop10Rep2-0_gamma0,Hop10Rep2-0,10,2,0,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-0_gamma25,Hop10Rep2-0,10,2,0,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-0_gamma50,Hop10Rep2-0,10,2,0,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-0_gamma75,Hop10Rep2-0,10,2,0,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-0_gamma100,Hop10Rep2-0,10,2,0,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-1_gamma0,Hop10Rep2-1,10,2,1,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-1_gamma25,Hop10Rep2-1,10,2,1,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-1_gamma50,Hop10Rep2-1,10,2,1,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-1_gamma75,Hop10Rep2-1,10,2,1,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-1_gamma100,Hop10Rep2-1,10,2,1,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-2_gamma0,Hop10Rep2-2,10,2,2,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-2_gamma25,Hop10Rep2-2,10,2,2,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-2_gamma50,Hop10Rep2-2,10,2,2,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-2_gamma75,Hop10Rep2-2,10,2,2,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-2_gamma100,Hop10Rep2-2,10,2,2,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,5
Hop10Rep2-3_gamma0,Hop10Rep2-3,10,2,3,tdg_selection_no_candidate_vs_random,2048,45,0,90,15,70,0,5
Hop10Rep2-3_gamma25,Hop10Rep2-3,10,2,3,tdg_selection_no_candidate_vs_random,2048,45,25,90,15,70,0,5
Hop10Rep2-3_gamma50,Hop10Rep2-3,10,2,3,tdg_selection_no_candidate_vs_random,2048,45,50,90,15,70,0,5
Hop10Rep2-3_gamma75,Hop10Rep2-3,10,2,3,tdg_selection_no_candidate_vs_random,2048,45,75,90,15,70,0,5
Hop10Rep2-3_gamma100,Hop10Rep2-3,10,2,3,tdg_selection_no_candidate_vs_random,2048,45,100,90,15,70,0,
